beta,problem,run,IGD,IGDX
0.5,MMF1,8,0.00277828147570698,0.040013012356442404
0.5,MMF1,10,0.00278455890813506,0.04212427921295908
0.5,MMF1,11,0.0027864857738826715,0.03990262298575818
0.5,MMF1,12,0.0027452258697314084,0.039048539119307335
0.5,MMF1,14,0.0027756150128786902,0.03789904804645792
0.5,MMF1,13,0.0032160051949234898,0.04072283792244082
0.5,MMF1,15,0.0031740215830420235,0.04017142119533879
0.5,MMF1,16,0.0026164469698657733,0.03909915607674591
0.5,MMF1,17,0.00272534675756029,0.038257806591248465
0.5,MMF1,18,0.002831231786003072,0.04022614378713643
0.5,MMF1,19,0.003047481007623388,0.040238350656989864
0.5,MMF1,20,0.0028798153837057416,0.04073234366341457
0.5,MMF1,22,0.0027199190206987334,0.03929405106339126
0.5,MMF1,21,0.0028562392701506306,0.04023907874839087
0.5,MMF1,23,0.0027841810393593167,0.04099880349820571
0.5,MMF1,24,0.00269986616579379,0.040217881760641915
0.5,MMF1,25,0.0027918133064446754,0.03916395752454778
0.5,MMF1,27,0.0028073952688277464,0.0382355023296462
0.5,MMF1,26,0.0029017986290028105,0.03931361781313492
0.5,MMF1,28,0.003048627635362369,0.04003114905921577
0.5,MMF1,29,0.0027819310709393864,0.038631564506857397
0.5,MMF2,0,0.0027056926730112496,0.016270642910887558
0.5,MMF2,1,0.0029877809502309757,0.008492769339362468
0.5,MMF2,2,0.0032934584424262193,0.020386284034236507
0.5,MMF2,3,0.0031693956355572624,0.006626523560109173
0.5,MMF2,6,0.0030591099268872197,0.007312217933749264
0.5,MMF2,4,0.002917630167745937,0.022597459450093723
0.5,MMF2,5,0.003023913214103627,0.007024710593670203
0.5,MMF2,8,0.0033609007851172394,0.007985147358120864
0.5,MMF2,7,0.0032284026463208068,0.00809752133477408
0.5,MMF2,9,0.0032527360689145945,0.008860980813609382
0.5,MMF2,10,0.0031008293563519976,0.008245137751769462
0.5,MMF2,12,0.003195321275402695,0.013486972440408284
0.5,MMF2,11,0.0032013041383403104,0.007562310817821741
0.5,MMF2,13,0.0031957943818654425,0.008623279829997872
0.5,MMF2,14,0.0031077444347280213,0.006799924917206347
0.5,MMF2,16,0.002988650344107989,0.007057910308447569
0.5,MMF2,17,0.0032102342870526284,0.007396966928692893
0.5,MMF2,15,0.002948403266849664,0.007488625054941881
0.5,MMF2,22,0.002917754968943006,0.008101861621455958
0.5,MMF2,20,0.003028833818437862,0.025686233276992442
0.5,MMF2,18,0.002874261510864306,0.009471692590766967
0.5,MMF2,19,0.0028436983725675254,0.014939527054614918
0.5,MMF2,21,0.0029474129232219416,0.010434923644337851
0.5,MMF2,26,0.002930755808450071,0.0076663430961698
0.5,MMF2,24,0.002852290046561364,0.013639058024102356
0.5,MMF2,23,0.0032188312128168333,0.021279001769888686
0.5,MMF2,25,0.0030370922059488876,0.007564844910609844
0.5,MMF2,27,0.0029992629297450855,0.006535558654048411
0.5,MMF2,28,0.00313009391734567,0.012581153333230101
0.5,MMF2,29,0.0030428392847648153,0.00684188423304337
0.5,MMF5,0,0.002601318738139046,0.07318259231914818
0.5,MMF5,1,0.002512223100514813,0.07421532340633616
0.5,MMF5,2,0.0028695060347700887,0.0819543102143675
0.5,MMF5,8,0.0027434345668245286,0.0798895164234732
0.5,MMF5,3,0.0027309220053135207,0.07020297874401593
0.5,MMF5,4,0.002728657010263458,0.07592994848091525
0.5,MMF5,6,0.003044898103056222,0.07015395162160189
0.5,MMF5,5,0.0026469661047060352,0.07128711398779441
0.5,MMF5,7,0.0028776860487651356,0.08383484628511988
0.5,MMF5,9,0.002672245800470768,0.07514803662805947
0.5,MMF5,10,0.002686258688495955,0.07550916498718187
0.5,MMF5,11,0.002780226665717725,0.07556070980362016
0.5,MMF5,12,0.002793944862213988,0.07365042442847027
0.5,MMF5,13,0.0027451861368592767,0.07184820022238408
0.5,MMF5,14,0.0025019959099926814,0.07726438570385206
0.5,MMF5,19,0.002666533677031029,0.08812817386939571
